bins,pdf
2.5,0.18366882747640167
3.5,0.09177755032412147
4.5,0.06175366769020812
5.5,0.041055384965313316
7.0,0.030080746047992723
9.0,0.022006141248720572
11.0,0.01671784373933811
14.0,0.011912885249630387
18.0,0.008017741385192767
23.0,0.006558247090488646
29.0,0.004188938170514424
36.5,0.0038161669004384805
46.5,0.0028121542962894035
59.0,0.0025101135643612617
74.5,0.0018129394371190987
94.0,0.0013957383455848143
119.0,0.0010276031258631055
150.5,0.0009000666114279216
190.0,0.0009434157335897356
240.0,0.0006072200289191078
303.5,0.0002274536563175253
383.5,0.0001086155100392677
484.5,5.837306224078083e-05
612.0,2.7230367305619224e-05
772.5,1.3342253582871597e-05
975.5,1.1522982588773308e-05
1232.0,1.1929387569100978e-06
1556.0,3.1416250872586366e-07
1965.5,2.4885520384849597e-07
2483.0,5.902776548032664e-07
